# Horizontal Surface - Deformation field  
#  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
  -2.5000000    52.7500000       0.00014       0.00019 
  -2.5000000    53.0000000       0.00020       0.00001 
  -2.2500000    42.0000000      -0.00024       0.00020 
  -2.2500000    42.2500000      -0.00024       0.00021 
  -2.2500000    42.5000000      -0.00024       0.00022 
  -2.2500000    42.7500000      -0.00023       0.00024 
  -2.2500000    43.0000000      -0.00022       0.00025 
  -2.2500000    43.2500000      -0.00021       0.00026 
  -2.2500000    43.5000000      -0.00018       0.00029 
  -2.2500000    43.7500000      -0.00016       0.00029 
  -2.2500000    44.0000000      -0.00016       0.00029 
  -2.2500000    44.2500000      -0.00034       0.00015 
  -2.2500000    44.5000000      -0.00031       0.00015 
  -2.2500000    44.7500000      -0.00025       0.00008 
  -2.2500000    45.0000000      -0.00023       0.00009 
  -2.2500000    45.2500000      -0.00020       0.00012 
  -2.2500000    45.5000000      -0.00019       0.00011 
  -2.2500000    45.7500000      -0.00018       0.00010 
  -2.2500000    46.0000000      -0.00011       0.00007 
  -2.2500000    46.2500000      -0.00014       0.00007 
  -2.2500000    46.5000000      -0.00017       0.00008 
  -2.2500000    46.7500000      -0.00019       0.00009 
  -2.2500000    47.0000000      -0.00022       0.00012 
  -2.2500000    47.2500000      -0.00021       0.00016 
  -2.2500000    47.5000000      -0.00018       0.00023 
  -2.2500000    47.7500000      -0.00013       0.00030 
  -2.2500000    48.0000000      -0.00008       0.00035 
  -2.2500000    48.2500000      -0.00004       0.00036 
  -2.2500000    48.5000000      -0.00001       0.00034 
  -2.2500000    48.7500000       0.00002       0.00029 
  -2.2500000    49.0000000       0.00004       0.00022 
  -2.2500000    49.2500000       0.00006       0.00014 
  -2.2500000    49.5000000       0.00008       0.00007 
  -2.2500000    49.7500000       0.00009       0.00003 
  -2.2500000    50.0000000       0.00011       0.00002 
  -2.2500000    50.2500000       0.00012       0.00002 
  -2.2500000    50.5000000       0.00014       0.00002 
  -2.2500000    50.7500000       0.00015       0.00002 
  -2.2500000    51.0000000       0.00015       0.00002 
  -2.2500000    51.2500000       0.00016       0.00002 
  -2.2500000    51.5000000       0.00016       0.00002 
  -2.2500000    51.7500000       0.00016       0.00002 
  -2.2500000    52.0000000       0.00017       0.00002 
  -2.2500000    52.2500000       0.00014       0.00016 
  -2.2500000    52.5000000       0.00014       0.00017 
  -2.2500000    52.7500000       0.00020       0.00000 
  -2.2500000    53.0000000       0.00020      -0.00000 
  -2.0000000    42.0000000      -0.00024       0.00014 
  -2.0000000    42.2500000      -0.00024       0.00021 
  -2.0000000    42.5000000      -0.00024       0.00022 
  -2.0000000    42.7500000      -0.00024       0.00025 
  -2.0000000    43.0000000      -0.00023       0.00025 
  -2.0000000    43.2500000      -0.00022       0.00026 
  -2.0000000    43.5000000      -0.00019       0.00029 
  -2.0000000    43.7500000      -0.00017       0.00029 
  -2.0000000    44.0000000      -0.00017       0.00029 
  -2.0000000    44.2500000      -0.00026       0.00026 
  -2.0000000    44.5000000      -0.00029       0.00015 
  -2.0000000    44.7500000      -0.00026       0.00014 
  -2.0000000    45.0000000      -0.00020       0.00009 
  -2.0000000    45.2500000      -0.00018       0.00010 
  -2.0000000    45.5000000      -0.00015       0.00012 
  -2.0000000    45.7500000      -0.00014       0.00012 
  -2.0000000    46.0000000      -0.00013       0.00012 
  -2.0000000    46.2500000      -0.00011       0.00011 
  -2.0000000    46.5000000      -0.00013       0.00012 
  -2.0000000    46.7500000      -0.00016       0.00013 
  -2.0000000    47.0000000      -0.00018       0.00017 
  -2.0000000    47.2500000      -0.00019       0.00021 
  -2.0000000    47.5000000      -0.00017       0.00026 
  -2.0000000    47.7500000      -0.00013       0.00031 
  -2.0000000    48.0000000      -0.00010       0.00034 
  -2.0000000    48.2500000      -0.00006       0.00034 
  -2.0000000    48.5000000      -0.00003       0.00032 
  -2.0000000    48.7500000       0.00000       0.00026 
  -2.0000000    49.0000000       0.00003       0.00019 
  -2.0000000    49.2500000       0.00004       0.00010 
  -2.0000000    49.5000000       0.00006       0.00001 
  -2.0000000    49.7500000       0.00008      -0.00002 
  -2.0000000    50.0000000       0.00010      -0.00002 
  -2.0000000    50.2500000       0.00012      -0.00001 
  -2.0000000    50.5000000       0.00013      -0.00001 
  -2.0000000    50.7500000       0.00014      -0.00001 
  -2.0000000    51.0000000       0.00015      -0.00000 
  -2.0000000    51.2500000       0.00016       0.00000 
  -2.0000000    51.5000000       0.00016       0.00000 
  -2.0000000    51.7500000       0.00016       0.00001 
  -2.0000000    52.0000000       0.00014       0.00013 
  -2.0000000    52.2500000       0.00014       0.00015 
  -2.0000000    52.5000000       0.00020      -0.00001 
  -2.0000000    52.7500000       0.00020      -0.00001 
  -2.0000000    53.0000000       0.00020      -0.00001 
  -1.7500000    42.0000000      -0.00024       0.00014 
  -1.7500000    42.2500000      -0.00025       0.00015 
  -1.7500000    42.5000000      -0.00025       0.00023 
  -1.7500000    42.7500000      -0.00025       0.00024 
  -1.7500000    43.0000000      -0.00024       0.00026 
  -1.7500000    43.2500000      -0.00023       0.00026 
  -1.7500000    43.5000000      -0.00019       0.00029 
  -1.7500000    43.7500000      -0.00018       0.00029 
  -1.7500000    44.0000000      -0.00017       0.00028 
  -1.7500000    44.2500000      -0.00015       0.00027 
  -1.7500000    44.5000000      -0.00022       0.00024 
  -1.7500000    44.7500000      -0.00024       0.00015 
  -1.7500000    45.0000000      -0.00017       0.00010 
  -1.7500000    45.2500000      -0.00015       0.00011 
  -1.7500000    45.5000000      -0.00013       0.00012 
  -1.7500000    45.7500000      -0.00010       0.00014 
  -1.7500000    46.0000000      -0.00005       0.00011 
  -1.7500000    46.2500000      -0.00007       0.00014 
  -1.7500000    46.5000000      -0.00010       0.00015 
  -1.7500000    46.7500000      -0.00013       0.00017 
  -1.7500000    47.0000000      -0.00016       0.00020 
  -1.7500000    47.2500000      -0.00016       0.00024 
  -1.7500000    47.5000000      -0.00016       0.00028 
  -1.7500000    47.7500000      -0.00014       0.00032 
  -1.7500000    48.0000000      -0.00011       0.00034 
  -1.7500000    48.2500000      -0.00008       0.00033 
  -1.7500000    48.5000000      -0.00004       0.00030 
  -1.7500000    48.7500000      -0.00002       0.00024 
  -1.7500000    49.0000000       0.00001       0.00017 
  -1.7500000    49.2500000       0.00003       0.00007 
  -1.7500000    49.5000000       0.00005      -0.00003 
  -1.7500000    49.7500000       0.00007      -0.00006 
  -1.7500000    50.0000000       0.00010      -0.00005 
  -1.7500000    50.2500000       0.00011      -0.00004 
  -1.7500000    50.5000000       0.00013      -0.00003 
  -1.7500000    50.7500000       0.00014      -0.00003 
  -1.7500000    51.0000000       0.00015      -0.00002 
  -1.7500000    51.2500000       0.00016      -0.00002 
  -1.7500000    51.5000000       0.00016      -0.00001 
  -1.7500000    51.7500000       0.00016      -0.00001 
  -1.7500000    52.0000000       0.00014       0.00012 
  -1.7500000    52.2500000       0.00015       0.00015 
  -1.7500000    52.5000000       0.00020      -0.00002 
  -1.7500000    52.7500000       0.00020      -0.00002 
  -1.7500000    53.0000000       0.00020      -0.00002 
  -1.5000000    42.0000000      -0.00025       0.00014 
  -1.5000000    42.2500000      -0.00026       0.00016 
  -1.5000000    42.5000000      -0.00027       0.00017 
  -1.5000000    42.7500000      -0.00026       0.00024 
  -1.5000000    43.0000000      -0.00025       0.00025 
  -1.5000000    43.2500000      -0.00024       0.00027 
  -1.5000000    43.5000000      -0.00022       0.00028 
  -1.5000000    43.7500000      -0.00018       0.00029 
  -1.5000000    44.0000000      -0.00017       0.00028 
  -1.5000000    44.2500000      -0.00019       0.00030 
  -1.5000000    44.5000000      -0.00015       0.00028 
  -1.5000000    44.7500000      -0.00016       0.00023 
  -1.5000000    45.0000000      -0.00018       0.00015 
  -1.5000000    45.2500000      -0.00012       0.00012 
  -1.5000000    45.5000000      -0.00009       0.00013 
  -1.5000000    45.7500000      -0.00007       0.00014 
  -1.5000000    46.0000000      -0.00001       0.00014 
  -1.5000000    46.2500000      -0.00003       0.00018 
  -1.5000000    46.5000000      -0.00006       0.00019 
  -1.5000000    46.7500000      -0.00010       0.00020 
  -1.5000000    47.0000000      -0.00013       0.00023 
  -1.5000000    47.2500000      -0.00015       0.00027 
  -1.5000000    47.5000000      -0.00015       0.00030 
  -1.5000000    47.7500000      -0.00014       0.00033 
  -1.5000000    48.0000000      -0.00012       0.00034 
  -1.5000000    48.2500000      -0.00009       0.00033 
  -1.5000000    48.5000000      -0.00006       0.00029 
  -1.5000000    48.7500000      -0.00003       0.00023 
  -1.5000000    49.0000000      -0.00000       0.00015 
  -1.5000000    49.2500000       0.00003       0.00006 
  -1.5000000    49.5000000       0.00005      -0.00003 
  -1.5000000    49.7500000       0.00007      -0.00006 
  -1.5000000    50.0000000       0.00009      -0.00006 
  -1.5000000    50.2500000       0.00011      -0.00006 
  -1.5000000    50.5000000       0.00013      -0.00005 
  -1.5000000    50.7500000       0.00014      -0.00004 
  -1.5000000    51.0000000       0.00015      -0.00004 
  -1.5000000    51.2500000       0.00015      -0.00003 
  -1.5000000    51.5000000       0.00016      -0.00003 
  -1.5000000    51.7500000       0.00014       0.00010 
  -1.5000000    52.0000000       0.00015       0.00013 
  -1.5000000    52.2500000       0.00015       0.00014 
  -1.5000000    52.5000000       0.00020      -0.00003 
  -1.5000000    52.7500000       0.00020      -0.00003 
  -1.5000000    53.0000000       0.00020      -0.00003 
  -1.2500000    42.0000000      -0.00025       0.00015 
  -1.2500000    42.2500000      -0.00026       0.00016 
  -1.2500000    42.5000000      -0.00027       0.00018 
  -1.2500000    42.7500000      -0.00028       0.00019 
  -1.2500000    43.0000000      -0.00027       0.00026 
  -1.2500000    43.2500000      -0.00025       0.00027 
  -1.2500000    43.5000000      -0.00023       0.00028 
  -1.2500000    43.7500000      -0.00019       0.00029 
  -1.2500000    44.0000000      -0.00017       0.00028 
  -1.2500000    44.2500000      -0.00018       0.00029 
  -1.2500000    44.5000000      -0.00015       0.00027 
  -1.2500000    44.7500000      -0.00011       0.00025 
  -1.2500000    45.0000000      -0.00012       0.00020 
  -1.2500000    45.2500000      -0.00009       0.00012 
  -1.2500000    45.5000000      -0.00006       0.00013 
  -1.2500000    45.7500000      -0.00003       0.00015 
  -1.2500000    46.0000000       0.00002       0.00017 
  -1.2500000    46.2500000       0.00000       0.00020 
  -1.2500000    46.5000000      -0.00004       0.00021 
  -1.2500000    46.7500000      -0.00007       0.00022 
  -1.2500000    47.0000000      -0.00011       0.00026 
  -1.2500000    47.2500000      -0.00014       0.00029 
  -1.2500000    47.5000000      -0.00015       0.00032 
  -1.2500000    47.7500000      -0.00014       0.00035 
  -1.2500000    48.0000000      -0.00013       0.00035 
  -1.2500000    48.2500000      -0.00011       0.00034 
  -1.2500000    48.5000000      -0.00008       0.00029 
  -1.2500000    48.7500000      -0.00004       0.00023 
  -1.2500000    49.0000000      -0.00001       0.00014 
  -1.2500000    49.2500000       0.00002       0.00005 
  -1.2500000    49.5000000       0.00005      -0.00002 
  -1.2500000    49.7500000       0.00007      -0.00006 
  -1.2500000    50.0000000       0.00010      -0.00007 
  -1.2500000    50.2500000       0.00011      -0.00007 
  -1.2500000    50.5000000       0.00013      -0.00006 
  -1.2500000    50.7500000       0.00014      -0.00006 
  -1.2500000    51.0000000       0.00015      -0.00005 
  -1.2500000    51.2500000       0.00015      -0.00005 
  -1.2500000    51.5000000       0.00014       0.00007 
  -1.2500000    51.7500000       0.00015       0.00010 
  -1.2500000    52.0000000       0.00015       0.00012 
  -1.2500000    52.2500000       0.00020      -0.00004 
